,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,device_watts,kilojoules,User
0,2,Orienteering practice with H,5170.4,2969,3093,199.0,Run,Run,0.0,14448096332,2025-05-11T14:39:27Z,2025-05-11T15:39:27Z,(GMT+00:00) Europe/London,3600.0,,,,0,1,0,2,0,False,False,False,False,everyone,False,,"[55.919205, -3.210155]","[55.919043, -3.210032]",1.741,5.66,82.9,True,148.7,194.0,False,True,324.8,235.6,15415143701.0,15415143701,garmin_ping_437654382148,False,0,0,False,32760347,1,a14448096332,kuhtInpqRGy@@SGeAKe@}@aCO{@AeAG[AOBMNg@Fm@Pe@Ag@S{BBY?}@KyACoAAEII^_BGCIDI?IHS\EB@CGOKq@m@kBUoACq@DkBDo@K_AGsADs@?kAUuCS}AOg@?_ADCEGG]Qq@Ou@Aa@@eCBo@Ag@Gk@Gy@BSIc@Bm@K_@P_@BQ?UCa@@[GG\wBPYBWNKT[HQAE?MDGSUCAGDCGFEOHWBKOAy@XyDZs@Co@Ak@Ny@?g@CY?c@CaA@uBH@C`@Kn@KLM@a@EgA_@g@MI?MDm@hBQ`@YfAUh@URUHa@X[FiCXWNIEi@Kc@YMEC@I\U\DADILGDNATMt@]hAMJQMi@iAIYW_@Ho@XgAAAHm@Bm@r@qBICd@{@PQBEAARGC?EG@CJACH]BMXUTMXNPFZBLEVBEF@BZEVAb@EHMF?TDP?DFN?FE^[b@I\Ar@GZDZ^j@~@|@Pf@BbAKbARhBAPZl@PN?DBA@DACH?f@vA|@vAF\?ZDPDHA@LLJBI??CMEC@?PHr@?bABHJT@AFIR_A@kBPa@^OHLDTFdAR^Hd@Tl@DXJ`@BVCj@BHE@KGAG@FDPZd@F@@CDSCB@BFCJKd@MBg@Rw@T]RuANgBDu@As@Hk@N{A@e@B[Rk@JQHGHc@JMTc@F?SUC[Hk@Ni@HCPQNYPMPBFHFTNFdA`BHX?XK^?J@`@At@@VCPGJI@CHAp@DTEX?NOPSd@]pBCXH\LzAAp@Gn@KjCF\J\ILI?CXVl@HDBNCHAd@F`BTxALXJh@?LEX@r@?hADj@Hb@H|@HZf@~@BV?`BDnAIp@El@HbB^t@TJJJJVLlAAJBd@BFBl@Fl@Pf@JVA\FtACV@\ZpARj@DRGx@Q`A@z@Q`C,2,,,,GI
1,2,Afternoon Run,21309.2,6721,7022,221.1,Run,Run,,14428235990,2025-05-09T16:39:03Z,2025-05-09T17:39:03Z,(GMT+00:00) Europe/London,3600.0,,,,29,2,0,1,0,False,False,False,False,everyone,False,,"[55.959116, -3.21077]","[55.959644, -3.217081]",3.171,8.14,82.6,True,171.6,201.0,False,True,166.0,6.4,15394136664.0,15394136664,garmin_ping_437056910504,False,11,0,False,32760347,1,a14428235990,e`ptIl~qR\PvAnB|BfBtB`@dBfApC~@|ArAp@jALpAKbBRnCK`BBvA\~ApAxAfAp@X`AJnCO|@[CFA@dC]lDUh@gAf@oApDGx@Dn@bAjBxDfAtBDtBqAxAFzBfFXhAl@xG_@vJ}AjKQvDFn@fB~EtAhB`AlB~BxBPp@b@j@fCpBjAdCz@p@p@fAEjAHRrBjBd@pFk@nAFbD_@hG@~@nDpSTd@|B|BbCrHnB~B`@^d@@fEw@zD{CJPhAtEnErWTl@j@j@t@jFVjF{@dIm@bCaAbCcLtSgAnDu@{@}AeD}BgIqBtBk@OSm@ExAiCjBQ`@[zCSv@QFYa@O@CpC_AzD{@pBQbBFzASrBU`@m@]w@Du@}@qAc@kBvA}@e@YVWtA@fBgBpFM`AK`BDnEi@zDG~G{@jGc@jBEpAOXq@\uAm@o@A{@y@[d@HnA[~@[DM|@s@?aCxCaDWa@c@Yw@u@Wc@NUl@kBxAoBdAeAC_@l@]LmCj@aAtAs@m@gAn@a@p@m@bDAl@ZhCIlAeAzCq@h@St@_Bd@sD|B}F|HIr@gBlCq@p@k@B?TM@o@y@uAiEsCuEk@iBkCeD[oC?sFM{BQyAm@{Au@kFKUc@@gExGk@kAu@qCY{Fc@wDOiFs@nEe@`B}@dBqBlB}Af@cCB}CcAuB{AmB}C_B?m@n@{AvCu@hCaBdKYv@m@hA_At@}HdB_LlBeAc@aCLa@_Ao@Ky@uBm@s@OeEBmSLoHfAaL]}G@cAZmDtAaJXkGEwDWwAiC_H{@iEcB}@u@aA]_Fe@cC}AeDeC{LkGwUQ}Bn@aMOuI|@}LCoJpA_EH_AUyEkAsHJmT`@qDlAkGJeB|BwNh@gF~@kF^{Cp@oLv@gETcExB{Mn@aGBaA[mEMm@GDiBwQv@eTByFJ}@|@cN`A}Av@aD|A{BvAg@xAgAhBBvPqGdAw@dAwAlAqCl@aCnA}LbAqFx@iCd@yCx@_CjAaCzBqDnByB~GvKn@~B~AhCrBxEVdAvArCvApApDFhC_BfC_AdD_D~BmD^Nf@v@KlFLrE_@nAZr@Gd@TzAp@rBwAlM^bA?`@[d@?nFJtD\vDQxDj@xEGhA\jIa@hAcBtBqEnDSt@G~@DtC|@zKbCxN`AxC|AlBNd@pC{Bv@gBM}Ig@uODUxBJ,2,,,,GI
2,2,Lunch Run,6280.4,2008,2037,182.3,Run,Run,,14393734807,2025-05-06T11:08:53Z,2025-05-06T12:08:53Z,(GMT+00:00) Europe/London,3600.0,,,,6,1,0,1,0,False,False,False,False,everyone,False,,"[55.959116, -3.212616]","[55.957349, -3.20795]",3.128,5.58,82.5,True,152.1,172.0,False,True,62.3,20.2,15357920770.0,15357920770,garmin_ping_435986160047,False,2,0,False,32760347,1,a14393734807,w`ptIx{qRx@`ABBR@d@b@b@p@t@r@f@VTPN?XHd@XhA^ZPb@h@b@P~@p@b@Rd@FbAz@T^Xz@Jv@Rx@@TCR@v@PxACXO`@BP@~@JhAC\Lj@DHPJTj@IUWSKCIM[oAC_@AWDgAAgAKeAMk@G_CIcA?[o@w@MQ_@_@CAEDu@u@oAu@}@c@wAg@c@Wo@i@aAo@]k@_@IYKIGCIcAoAc@a@k@w@]]c@u@Wu@W}AAMD[FMTe@V]DCRDH?b@IRKDETGH?HEd@g@p@_@X_@j@c@zBkAVSp@c@jAmAlAs@TIs@Ti@f@o@t@_E|BkAh@WV}@h@U^m@f@k@VSEUBSPs@^BETCZMlAGPERAf@i@n@a@`BuBnA{@t@Ub@WDEFBPGJGNY^[bAo@b@QIAqA|@g@f@eA~@}DrBSLqAl@W\s@n@[PCDe@?YN[h@AGTc@XEd@CVM^[`@UpAkA\g@l@o@f@OtAo@`@[DA`@[NQXKVS^OHKZQL?K?C@U`@c@f@UNQR]Vi@h@k@b@kAh@y@Xa@Vq@ZyAhAYHeARaAj@X[TKJCVBPE`@YBEf@Ib@]^]\Sr@gANOXOZWh@o@zAg@PCTMf@M\UZKh@w@SFcBlBwAt@s@XmAv@qAzASHe@LUXg@Zk@TO@gA^K@YNAAVQVWN?PBVI\QHMTITM\_@`@Kl@w@TQ`@WLGNOVQb@U\IRWl@WVYROl@m@z@g@DABIUDg@b@w@pAg@La@TON,2,,,,GI
3,2,Afternoon Run,10362.0,3197,3244,53.0,Run,Run,,14356289332,2025-05-02T16:02:40Z,2025-05-02T17:02:40Z,(GMT+00:00) Europe/London,3600.0,,,,15,1,0,1,0,False,False,False,False,everyone,False,,"[55.959033, -3.210052]","[55.963593, -3.197563]",3.241,6.06,80.8,True,153.1,168.0,False,True,198.6,157.4,15318496391.0,15318496391,garmin_ping_434788281599,False,9,0,False,32760347,1,a14356289332,aaptIf}qRtAlBn@p@^l@LFb@h@l@\h@Pb@Jn@HdCrAp@JvAb@fA`ABJH~AA|@n@bBLp@AxBIpAV|BN^b@RV\^r@@N\NTZN`BBx@Ab@CZGVA^DEICCB?C@D?P@zBAhABHMbAYz@MJC?g@RILc@tAe@tBOh@BNh@\Xb@b@TL@lAf@H@HI\@h@E\?TD`ADb@M\@n@W^FZKVH^l@nAtFHp@VxADbACZIxDDdAEfAEn@]rBK~BW`AQ`AY~@E^Cd@?hAFbAV|@Zx@p@lB^`@z@pAPt@Vx@~BnD^f@NHRAPFTGJJBFD@BAQNWFo@Hi@@WDs@R_Ab@YVa@Vg@Lc@Tg@ZADa@b@g@^Ob@SVmAz@eAp@s@n@qAnD[fBcBrCk@rA]|@Wz@YrAa@vAcCdG]j@e@p@Yt@_ApAQ`@If@ODIFUPING@QPQVMJ[n@MRUNa@b@c@Xc@NIDCLWLGJi@HkAl@wAhA_@JU?wATkAHs@Eg@Bw@AkAKe@KoBUiA_@o@a@g@A_@_@SKc@a@}@g@e@a@k@u@[k@y@e@YW{@i@w@q@aAaAa@UKCq@Ns@Bc@YcA{@m@]gAu@qAgA_BkAcBi@m@MeAOa@Mw@]w@w@e@[gBiBM]a@y@w@gA[i@oA{Dq@eDWqASu@MiAG{AKeAC_BOcCEeBSkBUeECkCMsCK}DO_AOgBIiAYmH]oDMmCKqDC{CE_ABmEMwACc@@s@E{@SeB?a@Gq@?o@Gs@CkAYmBOuCDgAScBGiCWyCH}B@{CIqACgADg@?QEgAMeA?i@KyDI}@QeAUsBEgABiAAiASgEUyAK}@c@}BUoBY_ASaAoAyEe@aC@}@r@wARg@Xk@p@aCTgA@STy@Dw@CyANeAp@mDr@yF`AyCR_ARk@lB_ENMZg@\aA^u@^y@~@cBNMJCXLVXn@z@fBrClApBrCzG~@jBlAnD|@pBjBpBn@Zh@J?H}Bj@e@Pe@Lk@Ho@PY@y@Jg@Xw@JkB~@UFSJ_@\?Db@EnACdAQv@W`@QhB]n@[tAYbAe@^G`@Qh@c@v@QjCyAl@_@f@Wd@Yl@W,2,,,,GI
4,2,Lunch Run,6771.1,2131,3159,35.0,Run,Run,,14331968138,2025-04-30T11:00:43Z,2025-04-30T12:00:43Z,(GMT+00:00) Europe/London,3600.0,,,,7,1,0,1,0,False,False,False,False,everyone,False,,"[55.95907, -3.211744]","[55.959502, -3.214612]",3.177,5.35,82.4,True,153.7,187.0,False,True,175.4,142.8,15293020453.0,15293020453,garmin_ping_434066637167,False,5,0,False,32760347,1,a14331968138,kpptI~kqR_@YgAuAGYOmAI}@OgCYeCIoBQoCSwAKqBe@aDMYKuCOgBk@_EW{BESUe@@MLYTS\QDMBm@J_ANcAEoAWgBUUKE_@ES?gHtDm@l@_@XuA|As@p@eD~AuA~@_CpA[J_@To@Vq@@yAVyAf@m@AQFWZcAt@g@RaBVo@^s@VmAZi@RwAZ_Bv@_@LgB\sAf@a@Hm@Nq@`@i@RqCf@MAe@D_@FKHe@NyAjAm@RsAP}GpDOTaA?g@F[R_@Dk@Po@CaAXg@x@aBhB[j@a@tASZc@TQVQt@e@jCEbAIxFAtAK|FApCOdGMpCCrA?dAFnALr@\xALz@d@jFFx@?b@MZy@v@u@bA]TUHY`@~DyHb@JVJPNXcATGNDPJPAJ@LAFBX\FETCDIv@Ul@M^QL@RGtAUd@Ip@WdAORAhASPI|@Ij@QLKZAd@Gf@Un@O`DWdBe@vA]x@UVAx@WxAW|Aa@d@Eh@QNDJJBIDCFBPb@H~@B|@JtBDv@B@X?JCt@St@Mj@Sh@Yd@a@j@YfBKd@@f@Oh@IjA]ZSf@K`@E^M`@\VFL?n@k@JOfAk@tA{@|@q@p@Wb@Gt@Pl@Tr@^n@d@tCbBh@`@^N`@Vb@H^Nb@VDGRw@HQVQv@Gd@?x@IXA,2,,,,GI
5,2,Morning Ride,41688.6,9807,14407,508.6,Ride,Ride,,14176664426,2025-04-13T08:14:42Z,2025-04-13T09:14:42Z,(GMT+00:00) Europe/London,3600.0,,,,0,1,0,2,0,False,False,False,False,everyone,False,,"[56.200369, -4.527896]","[56.195751, -4.119411]",4.251,12.4,,True,119.6,159.0,False,True,258.8,24.8,15130684109.0,15130684109,garmin_ping_429080154697,False,0,0,False,32760347,1,a14176664426,uo_vIxcsZdDgH~AkGdBsChBcGpDsExBqJpF_QzAsBxCeCjAkFfBgLx@sBrBcB`AsCNmDs@oDE{EVaFdCsQ^_O~@gHrDoNn@yHdDqTb@yV?eUt@aWbBsTu@_Sz@yMbBsEp@yFcAqFHsNvCiP~@w\p@cG|@eDRyG|EuIvBEb@}@ZqE?}G~@yLk@gJoBwFJqMZeJ^aCoAqMA}FvBqTkAuICwBh@qFFkOa@gCMeHg@qCTiCYqBdB{TlD{D\yEdDgIRuMo@e@Cs@DkPyAi\EmTnBwV|AyGvG_d@fC}Xp@wC~@JBc@eA}@kCmQk@eAy@T{AdEQhCq@t@Q`D{A_DOyBq@uAoA?{BpA{DaC{Cp@cC{TKiIUs@}C|YsAx@DXsE\eC{AcBiCc@qBoEaJk@gGj@_NEoK]w@oDfGoEToDlMqEbEaAtHcAvLi@jBiA`BsCw@c@XuCtHYnC}EfT{@~@aAo@}AcE}@eL^iPOaIX}A_CgE[kGm@gAmC}AcDi@k@j@aA~Dc@V?mFb@gD|AcDnBKlAyAb@kGD{L{Fwb@[}DuAq@{Cv@cBgA?oBhAeCr@}E[wVUo@e@L{E|Ka@Bm@wAu@aC^iEIuAqC}LwB_GqA_BkAK}CvCqAbJMtT^rGOBd@hDc@pFEpIt@|JLfM_@zGsApE[Qg@kDuBoHwBsL_FiM{FsFkBi@sEeHT}KaBcPXaJxAcOpAeFAyB_C{EyAQoB~@{ErHiC`HYdFqA|Eg@pEcGrRy@~Il@om@^_GGuG^gDNyHo@aOPeKaBoCd@cF[g@HaDj@kGq@eL?uPK}@uAOtAyDj@yGeBeHe@uKnAqIh@sIEgC~@wG~@cCdAwPfGyGvD_QuAyX{@aEr@wGAgHaCcMeA_CXlA[t@R}@g@_Eb@mDl@kAZyH~AeCpAmXrAoIHeJe@_DqAwUmBcMeDoFyDgMyGgLmAaRqEmYoGwOyDsFy@cJ{BgO{AoEaCaB_FeAwEqD}BsCiFqN{JyJcC_AmFcEqOaTo@oGo@mQqBkIoCyPQgUn@yKiA}FeE{[i@wOF_FqB}]k@}ViMyGeFsA_BuBuAhDKv@ZVm@n@PCDPSHX{@YAT_BrEc@bRnGzCiIrA_LrN_RnvAcu@vIaI~Eq@nAsAtAyGY}S_@oF@gGfCmK~AiEpBuN?uHnBuKfA{RPsRnD}YnAwUxAwEnKoPjAuC`@eVzCmGzGa]o@yJ_@mMRsCxLu_@nLg\tBwNtGcLv@yF~DeCdHiKrDiIjKsLzIw]zBwM,2,60.1,False,589.0,GI
6,2,Lunch Ride,46897.9,10068,20147,391.0,Ride,Ride,,14176656390,2025-04-12T10:44:54Z,2025-04-12T11:44:54Z,(GMT+00:00) Europe/London,3600.0,,,,0,1,0,2,0,False,False,False,False,everyone,False,,"[55.953992, -4.579767]","[56.213466, -4.542548]",4.658,12.529,,True,118.9,177.0,False,True,191.8,3.6,15130675911.0,15130675911,garmin_ping_429079972621,False,0,0,False,32760347,1,a14176656390,wtotIpk}ZaIuIeAwC}@y@i@yAuEcBgE]OoAm@i@]jAoBVgA~G{AhDoCfEoAW{AmAiFs@_FwFeDaGk@Mu@lAi@bKu@|E}AfGmCbHaChEyBdCgDx@iDkAcC}BiFoDaC}@}CkCs@oAq@oCOkCFsEMUwBGcA`K}CbIcCfBgC]{AwCkDcUgAuBwBoAyHt@_C]oCyDoCyHiAy@oCCsInBqBjEyBfJ{@tAw@VsAi@kHwOcGqFeQA}JjBgDlFwCpPq@xAoQnRyJ`GZ~C}Fv}Aa@|AqBnEwHvJmD|GwDxLu@vAkDlFeJbKaMvK_GuAmF@}Bv@FXuAfHeEhFiAhDmFzJoErWaC~\kAjKsDpOkCbGeDhEyGxEuAX{BWyB~AqJx@mIfC_D`B}CxCkQbUePlGcFjOmAtByBjBeGrB}VzCmT`A{JFqc@mD_YH{@j@kL]}F{AcEKkI}AsCkAmGoF_KqOaHkFsD}A{CWkIvAmJHwCe@eGfB_G{@aEH{LgCsIuH{BeAkA@kChAsDbEuBpFwCpFqGhF_DvA}DkAaGaGu@V_C~CiAh@iTqBeKGcOcDaBt@BXUk@JNd@kAuCu@sF_D}Gc@oFz@_EdBaS`PcHnEqGnHyIfNgMxMaHtFqRrGcP|DmGvCaAMoD~AwD`@uChC_NxGwJzGmHhDgK~CyEzDkNxIoAGcCpABu@Kb@B]c@n@mHjAq@lBg@b@uErByAUaG|@sIrBiCfBsN~P_HjCiD@qI`HaBp@}D@wBmA{GmJgH{SuI}Je@QuD~Bi@nDu@bBoApBuDrDwFtLe@zBOzF_A`IUdGa@hAuKbMy@zDSxJe@hB}@pAgEpEsDt@cDdHiErCwFk@uAfBkAb@q@q@s@qCsABwAjHcB`GgBhJm@rAeDpAw@x@qMlTwDzDcAhC_C`DqCjHcArAwBpBuQxI}NzBgG`CwHtKaKrHkFlG{ElHgNtOi@_Aa@yC[[c@Rw~FosCiDVe@a@EoA^qAtCgAN}EdBaCl@yDEs@qBkGiCqSRQQFo@yGmBqIuB{DyF_@eDgC{FaP[sBo@wMbBoLn@kVm@cLqCqRAkEi@yGHeGMoGvAqM\{J`A}Ct@cGpBkh@e@aLgH}s@vAsg@Gqv@_I_r@aEyOiCuXiJyn@s@{M{AaDcIoHH}@a@wI{AwIE{EWgCk@SjTlbAnAfIf@@pOaIzMuJdG{BdFmF`FaKNoDcAoMJ}Gn@sEzCkJjI}QtHyLzFoLnQoXpC}FjBuAnE_BpF{GxDyBbGqF~G_EvMsKlZiY~NaI`BgCzEuM`FcETDtFwHtCY,2,58.6,False,590.5,GI
7,2,Morning Run,9020.5,2504,2543,39.2,Run,Run,0.0,14114530298,2025-04-08T09:22:05Z,2025-04-08T10:22:05Z,(GMT+00:00) Europe/London,3600.0,,,,6,1,0,1,0,False,False,False,False,everyone,False,,"[55.959161, -3.212722]","[55.959246, -3.213989]",3.602,11.593,71.9,False,,,False,False,50.4,18.5,15065726868.0,15065726868,63e04c3a-4206-4d47-a394-b03a899d12b3-activity.fit,False,0,0,False,32760347,1,a14114530298,_lptIrpqR_@a@Q[o@]m@o@Qa@o@i@KQc@oAGGIi@Cw@G]WwFOyAMw@@k@Es@MaAGeB]eDIeBOqAKoAAYGu@]yAOg@O}@@MDIBMCKOSKo@EMBWFG`@WJKDUHODYAYDs@V_BCqAEKG?Q{AIOECMAYBa@Lk@Z]Zk@\UF[PON_@JAKBEgBhAQVELUFMAC?S^SPO\u@z@]XE@EAm@j@wAp@GJaAd@WRy@Vm@Z]DQD{@l@e@XmA`@YDo@\UBQDc@Xa@D]Lg@JuAj@{Bj@O@}@Zi@Dm@VKFoBj@aDpAK@KFo@Te@Fs@XK?DQYBc@^o@NYNy@Zi@LSBo@Tg@HMAUDCJKFCJ@JNRDLXrAhAxEJ|@`@dB`@|BCN?JLPDHHt@FHB`@Jv@?`@Fl@DRHP@HDrBPtCDbAHhAL`@Ih@?x@RfEZzE?`AJrABnBH~A?jBDv@FnDHtBNhA@XNbBHlA@`ATfDBtADx@?fADt@G`AGT?b@FlAHf@VtECFCAAMECGHEAZtAJ|ADX?TC??FF^HtAAVBPHzAJjELp@BZZhHLfDAn@DlAFl@DHD@DAH`@GnAPbB@t@D^@^j@lLVbGHv@@b@XjC|@lEb@~ATp@r@vARf@f@z@XZJVj@r@h@d@d@Pb@^FAJVBTJJDDT@x@V^P~@JzBv@\VPRFRDCLDVN^VVXf@Vb@`@d@TTVPHF@JED?LLDADDLf@JHL@ZAROPKRCJDx@r@tA|@NPJDr@j@v@t@^d@RNR`@^ZbAd@b@`@b@X^JLLj@Ph@d@f@RZBDGZBj@Zd@DXJX@`@LD?DCDSCu@@GHGJ@FKG[CEGEo@GSIS?c@Se@GO@SIKKY}@K}@Ma@SiAQi@YgBCo@BU?q@MkBBqARaCHk@z@mDN}@Fk@?e@DU@a@Ja@B]G_Da@yGOyA?o@[wJAKECCTDcA?}AG_@SiE_@uE@KDCJDBWCDGOMKSi@e@uCa@cD[aBEy@q@qFM{A?e@[eCKgA_@}BOc@Ko@K_A{@{FDs@Qo@DWJO\UPSR_AXoBJcBAUL{A?UFk@y@sEGk@BUNYVgAXwAx@kDNWl@Kn@Q\Ct@@n@Kx@J\E,2,,,,GI
8,2,Afternoon Run,5279.2,1636,1697,25.0,Run,Run,,14087602128,2025-04-05T13:32:03Z,2025-04-05T14:32:03Z,(GMT+00:00) Europe/London,3600.0,,,,4,3,0,2,0,False,False,False,False,everyone,False,,"[55.958015, -3.208552]","[55.959485, -3.214502]",3.227,5.557,82.4,True,144.2,173.0,False,True,149.2,126.6,15037536978.0,15037536978,garmin_ping_426162369610,False,0,0,False,32760347,1,a14087602128,upptIzkqRo@}@YUWy@GaAs@eFIyBOiBEcAIo@Mg@SoBMq@IUOy@Eq@XsBW{CEWi@oBe@oAA]Fs@W_B^e@Ru@HeA@i@TyABu@Ec@W{AGMKCs@GYBuFpEk@@KNe@FYNcAnAg@t@a@VqAVg@b@w@`@IJSN_Bn@o@Pc@Rg@JaAf@cBj@uCr@YBg@La@Vc@JMFc@Fq@Re@RSDg@^UJUDs@f@aBf@a@FM@e@Ng@Xu@Pc@PmBbAk@HOD}@Jg@Rc@LaARSJkATm@B_@J?XBJn@zBRz@n@vDT`APp@h@`D^xDPdCZxCF~@DjABEDqA@ETId@KfAg@j@KLETA`@NLZ?n@JxBHt@@v@H~@Lz@@vAf@xGLlEPfCJdAJdC@lAHpAF^HABGVKrAOt@Ed@Uf@_@j@Wd@Yj@IJBTPv@Jl@BZCX@|A_@f@[z@]XLRAZ[|@g@JO\Yr@[d@YTI`B_Ad@QFBX\PHfD`@d@X^f@?DAGB@Vj@f@bBP~@R`B^`CVn@HBTSx@gFPw@Rg@b@Yb@IR?lAQ~@?,2,,,,GI
9,2,Evening Run,5096.6,1465,1484,15.8,Run,Run,0.0,14070695939,2025-04-03T17:28:12Z,2025-04-03T18:28:12Z,(GMT+00:00) Europe/London,3600.0,,,,4,1,0,2,0,False,False,False,False,everyone,False,,"[55.959486, -3.213204]","[55.959087, -3.212549]",3.479,11.04,71.2,False,,,False,False,25.0,18.7,15019764653.0,15019764653,9375ae55-9c40-4cdf-b54b-29d6322a9e15-activity.fit,False,0,0,False,32760347,1,a14070695939,mhptIxuqRF[?QOOICMKMGIO[SMAUUU]KEi@{@u@k@y@sAK?s@{BKcBYqBB]Cm@Mo@?YGm@K_DK}AEcAS}@a@cFFS?k@e@gDg@cC{@_FK{@?GDCCAAA@DKHMTdBgADIJi@AaANaA@m@CUDGDHi@qAEo@ESOEKAGM?OIAIKMbAIFi@P[NKB_A^MLy@vAKLG@[CQBm@RGAQXk@j@aBpAY\GNIHm@^QDQJc@^KDQJE@E?CDM@ODk@ZKJUFeAl@QFSCq@n@q@PUB{Af@cA`@e@F}@^qBf@c@Pi@N}@d@ME}@d@s@LGI_@X]Lc@Jg@PKFKDCFCTCH?YRE~Aw@^G`@MHKn@Of@QN?XOd@c@RIvAWbCi@n@W|@g@p@WZG^Q\En@QLGZ[VE|@[n@[d@O|@_@^Sl@_@b@Sx@m@TYNULGp@k@DUDy@TUBAVLB?t@e@PQr@Ix@[VI\APFGEFBDCLs@xB_APCJ@DBDJLr@b@lAF`@Eb@ER?CIl@@v@Cj@GLSFe@\OPMZVxANT\dBD^J^H|@CVHZD@BDF`@Bl@DJ?VD\FJ@E@DBXE`@F\BdBHj@Z|EH\HnAJ`A?Td@~Dd@zFNd@Hb@HNDd@LTLJNBHFPRZVNXn@h@DA?IHQ,2,,,,GI
